,Protein_ID,Pfam_Families
0,P68688,PF00462
1,P00811,PF00144
2,P00390,PF07992
3,Q8K4V6,PF00047
4,P0DTD1,PF13087
5,B9VUU3,PF08727
6,Q9NQS7,PF03941
7,P24627,PF00405
8,P14618,PF00224
9,P0AC62,PF00462
10,Q9Y6M4,PF12605
11,Q56148,PF07931
12,G0GA88,PF00027
13,P12497,PF00540
14,P06396,PF00626
15,P07511,PF00464
16,P02866,PF00139
17,P00639,PF03372
18,P33981,PF00069
19,P80197,PF09192
20,P26663,PF07652
21,P07737,PF00235
22,Q5ZX43,PF01053
23,Q9HBH9,PF00069
24,Q02127,PF01180
25,Q46AN5,PF18490
26,P35968,PF07679
27,P36222,PF00704
28,Q6VE48,PF00084
29,Q2N0S6,PF00516
30,P00742,PF00008
31,Q15047,PF18300
32,P10275,PF02166
33,F8W4B7,PF00850
34,P62993,PF00017
35,P62826,PF00071
36,Q6Z2T3,PF00230
37,P06213,PF00041
38,Q10714,PF01401
39,P27487,PF00930
40,P04058,PF00135
41,P13922,PF00186
42,P02185,PF00042
43,K9N7C7,PF13087
44,Q92831,PF00583
45,Q9H2K2,PF00023
46,O15439,PF00664
47,P0CG63,PF00240
48,G0SHW7,PF13476
49,P08684,PF00067
50,O34925,PF01048
51,P25694,PF00004
52,Q8N1Q1,PF00194
53,P97477,PF00069
54,A0A7K7KW08,PF07686
55,P53779,PF00069
56,Q1W679,PF01589
57,P0DTC2,PF16451
58,Q9C0B1,PF12934
59,R9YK28,PF00947
60,L8ICE9,PF03098
61,P0CH08,PF01020
62,P00734,PF00594
63,P52333,PF18379
64,Q9BYF1,PF16959
65,Q92731,PF12497
66,O95271,PF00023
67,Q14289,PF21477
68,Q9Y3Z3,PF01966
69,A0A9Y2YA64,PF00899
70,R4NN21,PF00509
71,O95786,PF16739
72,P56817,PF00026
73,P01887,PF07654
74,P11309,PF00069
75,P01042,PF00031
76,Q9FVF8,PF00139
77,P00918,PF00194
78,P12004,PF02747
79,Q9Y6E0,PF20929
80,P0CG47,PF00240
81,P00520,PF08919
82,P43034,PF08513
83,P02699,PF00001
84,P55201,PF00439
85,P06276,PF08674
86,O76083,PF00233
87,Q79PF4,PF06745
88,Q8IXJ6,PF02146
89,P55064,PF00230
90,P03372,PF12743
91,Q9NZQ7,PF08205
92,P32835,PF00071
93,P55072,PF00004
94,Q02750,PF00069
95,P69801,PF03609
96,Q50940,PF00194
97,Q03181,PF00104
98,O60885,PF17035
99,P53350,PF00069
100,P48736,PF00454
101,P03958,PF00962
102,P07711,PF08246
103,P60953,PF00071
104,P08581,PF07714
105,P02945,PF01036
106,P80025,PF03098
107,O75940,PF06003
108,Q16637,PF20636
109,P07948,PF07714
110,P11362,PF07679
111,P37231,PF00104
112,P24941,PF00069
113,C3W5X2,PF00509
114,Q47VZ4,PF00929
115,Q13627,PF00069
116,P01116,PF00071
117,P04377,PF00127
118,O00329,PF00454
119,A0A0U5IHY9,PF07654
120,P21802,PF07679
121,K9VSN3,PF09150
122,Q460N5,PF23084
123,P0ABE7,PF07361
124,Q9WFX3,PF00509
125,O43520,PF13246
126,P00489,PF00343
127,P42336,PF00454
128,P00519,PF08919
129,P00797,PF07966
130,E5QVT2,PF12822
131,P04440,PF07654
132,P47811,PF00069
133,O75385,PF12063
134,Q07869,PF00104
135,P22629,PF01382
136,P29320,PF14575
137,O75116,PF00069
138,P17893,PF01316
139,P21860,PF00757
140,P05362,PF21146
141,Q9UJ71,PF00059
142,Q41594,PF01397
143,P61204,PF00025
144,Q7NDN8,PF02931
145,O52681,PF01257
146,P05106,PF07974
147,O60674,PF18379
148,P02768,PF00273
149,A0A062UZ78,PF01866
150,O58832,PF01866
151,Q9I5D1,PF01510
152,P0AEJ4,PF00672
153,F8W3J5,PF13855
154,P21397,PF01593
155,P15570,PF00964
156,Q8ECH6,PF01934
157,Q16539,PF00069
158,P51798,PF00571
159,P12821,PF01401
160,P54646,PF16579
161,Q04609,PF02225
162,P01903,PF07654
163,P0AG30,PF00006
164,P35247,PF01391
165,P07293,PF08763
166,O14965,PF00069
167,P23458,PF18379
168,P08659,PF00501
169,Q5EP34,PF00603
170,Q9Y6Y9,PF02221
171,P09455,PF00061
172,Q9HCL2,PF01553
173,P09758,PF21283
174,K9LG83,PF03996
175,O24313,PF00139
176,O53780,PF10738
177,P54284,PF00625
178,P50120,PF00061
