protein_id,pocket_id,valid_x,smiles_x,protein_name_x,site_type_x,drug_id,score_x,SMPBind,conf_x,valid_y,smiles_y,protein_name_y,site_type_y,score_y,Plinder,conf_y,valid,smiles,protein_name,site_type,score,BindingDB,vote_sum
7ju5,7ju5,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[P@](=O)(O)O[C@@H](CO[P@](=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O,RET,cryptic site,7ju5_0,0.107605934,0,0.50299084,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[P@](=O)(O)O[C@@H](CO[P@](=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O,RET,cryptic site,0.31449753,0,0.35052672,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[P@](=O)(O)O[C@@H](CO[P@](=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O,RET,cryptic site,0.60669583,1,1
7ju5,7ju5,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)O[C@H]1O,RET,cryptic site,7ju5_1,0.15256724,0,0.50475085,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)O[C@H]1O,RET,cryptic site,0.036092468,0,0.056800988,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)O[C@H]1O,RET,cryptic site,0.7427805,1,1
7ju5,7ju5,1,NC1=NC=NC2=C1N=CNN2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(O)N)[C@@H](O)[C@@H](O)[C@H]1O,RET,cryptic site,7ju5_2,0.08756885,0,0.4961873,1,NC1=NC=NC2=C1N=CNN2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(O)N)[C@@H](O)[C@@H](O)[C@H]1O,RET,cryptic site,0.15947378,0,0.19036874,1,NC1=NC=NC2=C1N=CNN2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(O)N)[C@@H](O)[C@@H](O)[C@H]1O,RET,cryptic site,0.55288225,1,1
7ju5,7ju5,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[P@](=O)(OP(=O)O)OP(O)(O)O)[C@@H](O)[C@@H]1O,RET,cryptic site,7ju5_3,0.12361557,0,0.50146794,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[P@](=O)(OP(=O)O)OP(O)(O)O)[C@@H](O)[C@@H]1O,RET,cryptic site,0.026497534,0,0.05415095,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[P@](=O)(OP(=O)O)OP(O)(O)O)[C@@H](O)[C@@H]1O,RET,cryptic site,0.79517996,1,1
7ju5,7ju5,1,NC1=NC=NC2=C1N=NN2[C@@H]1O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,RET,cryptic site,7ju5_4,0.08312532,0,0.50524163,1,NC1=NC=NC2=C1N=NN2[C@@H]1O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,RET,cryptic site,0.057713576,0,0.08261299,1,NC1=NC=NC2=C1N=NN2[C@@H]1O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,RET,cryptic site,0.81465,1,1
7ju5,7ju5,1,CC1=NN=C(C(C)CCOC2=CN=C(N3C(N[N+]C)=N3)N=C1)N2,RET,cryptic site,7ju5_5,0.27941883,0,0.51996374,1,CC1=NN=C(C(C)CCOC2=CN=C(N3C(N[N+]C)=N3)N=C1)N2,RET,cryptic site,0.69906306,1,0.27659184,1,CC1=NN=C(C(C)CCOC2=CN=C(N3C(N[N+]C)=N3)N=C1)N2,RET,cryptic site,0.3572911,0,1
7ju5,7ju5,1,NC1=NC2=CC(N=CN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)O)[C@@H](O)[C@H]2O)N1,RET,cryptic site,7ju5_6,0.06463316,0,0.495018,1,NC1=NC2=CC(N=CN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)O)[C@@H](O)[C@H]2O)N1,RET,cryptic site,0.005917023,0,0.046488628,1,NC1=NC2=CC(N=CN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)O)[C@@H](O)[C@H]2O)N1,RET,cryptic site,0.5583552,1,1
7ju5,7ju5,1,NC1=NC2=C(N=NN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)NC(=O)N1,RET,cryptic site,7ju5_7,0.071415596,0,0.4980527,1,NC1=NC2=C(N=NN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)NC(=O)N1,RET,cryptic site,0.05547865,0,0.09550872,1,NC1=NC2=C(N=NN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)NC(=O)N1,RET,cryptic site,0.7185539,1,1
7ju5,7ju5,1,O=C(O)CCO[C@@H]1O[C@](=O)NC(=O)N[C@@H](O)O[C@H]1O,RET,cryptic site,7ju5_8,0.051839735,0,0.5061982,1,O=C(O)CCO[C@@H]1O[C@](=O)NC(=O)N[C@@H](O)O[C@H]1O,RET,cryptic site,0.0009100184,0,0.024281835,1,O=C(O)CCO[C@@H]1O[C@](=O)NC(=O)N[C@@H](O)O[C@H]1O,RET,cryptic site,0.84429467,1,1
7ju5,7ju5,1,CC(=O)N[C@H]1[C@H]([C@H](O)[C@@H](CO[C@H](NC(C)N)CO)O[C@@H](CO)O[C@H](CO)O)O[C@@H]1O,RET,cryptic site,7ju5_9,0.013647415,0,0.4929218,1,CC(=O)N[C@H]1[C@H]([C@H](O)[C@@H](CO[C@H](NC(C)N)CO)O[C@@H](CO)O[C@H](CO)O)O[C@@H]1O,RET,cryptic site,0.026191454,0,0.033182837,1,CC(=O)N[C@H]1[C@H]([C@H](O)[C@@H](CO[C@H](NC(C)N)CO)O[C@@H](CO)O[C@H](CO)O)O[C@@H]1O,RET,cryptic site,0.35815132,0,0
7ju5,7ju5,1,COC1=CC(C(C)NC(C)C(=O)N=NC(N)N=C2N)=NCC2=CC=C1,RET,cryptic site,7ju5_10,0.058391336,0,0.51969075,1,COC1=CC(C(C)NC(C)C(=O)N=NC(N)N=C2N)=NCC2=CC=C1,RET,cryptic site,0.21701322,0,0.2529146,1,COC1=CC(C(C)NC(C)C(=O)N=NC(N)N=C2N)=NCC2=CC=C1,RET,cryptic site,0.72405654,1,1
7ju5,7ju5,1,NCC1=CC=CNC2=NNCN=C3CC3=CN=NC(N)N=CN2N1,RET,cryptic site,7ju5_11,0.061075844,0,0.528869,1,NCC1=CC=CNC2=NNCN=C3CC3=CN=NC(N)N=CN2N1,RET,cryptic site,0.3485867,0,0.39022547,1,NCC1=CC=CNC2=NNCN=C3CC3=CN=NC(N)N=CN2N1,RET,cryptic site,0.95832795,1,1
7ju5,7ju5,1,O=C1C(=O)NOC[C@@H]2CN=CN12,RET,cryptic site,7ju5_12,0.004425413,0,0.523857,1,O=C1C(=O)NOC[C@@H]2CN=CN12,RET,cryptic site,0.051820494,0,0.09971279,1,O=C1C(=O)NOC[C@@H]2CN=CN12,RET,cryptic site,0.93986183,1,1
7ju5,7ju5,1,CC(C=CC=C(O)NC(=O)NC(N)=O)S,RET,cryptic site,7ju5_13,0.10681216,0,0.5189437,1,CC(C=CC=C(O)NC(=O)NC(N)=O)S,RET,cryptic site,0.0063306526,0,0.03974773,1,CC(C=CC=C(O)NC(=O)NC(N)=O)S,RET,cryptic site,0.8118268,1,1
7ju5,7ju5,1,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2)C(=O)N1,RET,cryptic site,7ju5_14,0.18328722,0,0.50347555,1,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2)C(=O)N1,RET,cryptic site,0.0062957015,0,0.040364865,1,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2)C(=O)N1,RET,cryptic site,0.5047894,1,1
