protein_id,pocket_id,valid_x,smiles_x,protein_name_x,site_type_x,drug_id,score_x,SMPBind,conf_x,valid_y,smiles_y,protein_name_y,site_type_y,score_y,Plinder,conf_y,valid,smiles,protein_name,site_type,score,BindingDB,vote_sum
5cu3,5cu3,1,C[N+](CCC(=O)N[C@H](N)CC(=O)CC(=O)O)C(=O)N[C@@H](CO)C(=O)O,CDK2,cryptic site,5cu3_0,0.101590924,0,0.50106025,1,C[N+](CCC(=O)N[C@H](N)CC(=O)CC(=O)O)C(=O)N[C@@H](CO)C(=O)O,CDK2,cryptic site,0.009233475,0,0.049563095,1,C[N+](CCC(=O)N[C@H](N)CC(=O)CC(=O)O)C(=O)N[C@@H](CO)C(=O)O,CDK2,cryptic site,0.0013300799,0,0
5cu3,5cu3,1,O=C1NN=CC2=CNC(N[C@@H](O)[C@@H](COP(=O)(O)O)C3=CN=CN=C3)N=CN=CN12,CDK2,cryptic site,5cu3_1,0.18841271,0,0.5048147,1,O=C1NN=CC2=CNC(N[C@@H](O)[C@@H](COP(=O)(O)O)C3=CN=CN=C3)N=CN=CN12,CDK2,cryptic site,0.7787003,1,0.21425389,1,O=C1NN=CC2=CNC(N[C@@H](O)[C@@H](COP(=O)(O)O)C3=CN=CN=C3)N=CN=CN12,CDK2,cryptic site,0.9172639,1,2
5cu3,5cu3,1,CC(NC1=NC(C(=O)O)C=C1SCCN1C(C)CCCCC(N)=NO)=N1,CDK2,cryptic site,5cu3_2,0.03356168,0,0.51165366,1,CC(NC1=NC(C(=O)O)C=C1SCCN1C(C)CCCCC(N)=NO)=N1,CDK2,cryptic site,0.08380114,0,0.108270995,1,CC(NC1=NC(C(=O)O)C=C1SCCN1C(C)CCCCC(N)=NO)=N1,CDK2,cryptic site,0.9849726,1,1
5cu3,5cu3,1,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)O)[C@@H](O)[C@H]2O)N1,CDK2,cryptic site,5cu3_3,0.18124746,0,0.50627357,1,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)O)[C@@H](O)[C@H]2O)N1,CDK2,cryptic site,0.10459326,0,0.107770905,1,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)O)[C@@H](O)[C@H]2O)N1,CDK2,cryptic site,0.050626434,0,0
5cu3,5cu3,1,NC1=NC=NC2=C1N2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,CDK2,cryptic site,5cu3_4,0.1720739,0,0.50461274,1,NC1=NC=NC2=C1N2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,CDK2,cryptic site,0.37315607,0,0.43601692,1,NC1=NC=NC2=C1N2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,CDK2,cryptic site,0.23168494,0,0
5cu3,5cu3,1,NC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](N)CO[C@@H](N)N2)CO[C@@H](CO)O[C@@H](O)[C@@H]1O,CDK2,cryptic site,5cu3_5,0.09554182,0,0.5087351,1,NC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](N)CO[C@@H](N)N2)CO[C@@H](CO)O[C@@H](O)[C@@H]1O,CDK2,cryptic site,0.007914398,0,0.048126295,1,NC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](N)CO[C@@H](N)N2)CO[C@@H](CO)O[C@@H](O)[C@@H]1O,CDK2,cryptic site,0.004331177,0,0
5cu3,5cu3,1,CONC1=CC2=NC(NC[C@@H](NC(=O)O)[C@@H](C)NC(C(=O)NC(C(=O)N3)CCCN=NC3)N2)C1,CDK2,cryptic site,5cu3_6,0.043939997,0,0.5041416,1,CONC1=CC2=NC(NC[C@@H](NC(=O)O)[C@@H](C)NC(C(=O)NC(C(=O)N3)CCCN=NC3)N2)C1,CDK2,cryptic site,0.17210476,0,0.2380352,1,CONC1=CC2=NC(NC[C@@H](NC(=O)O)[C@@H](C)NC(C(=O)NC(C(=O)N3)CCCN=NC3)N2)C1,CDK2,cryptic site,0.9340334,1,1
5cu3,5cu3,1,CC(C)CCCC[C@@H]NC(=O)[C@@H](CN=O)O,CDK2,cryptic site,5cu3_7,0.09251871,0,0.51015145,1,CC(C)CCCC[C@@H]NC(=O)[C@@H](CN=O)O,CDK2,cryptic site,0.062897556,0,0.081223845,1,CC(C)CCCC[C@@H]NC(=O)[C@@H](CN=O)O,CDK2,cryptic site,6.920144e-05,0,0
5cu3,5cu3,1,CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)CO[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@@H]1CO,CDK2,cryptic site,5cu3_8,0.10866557,0,0.5094047,1,CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)CO[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@@H]1CO,CDK2,cryptic site,0.0035028276,0,0.03494869,1,CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)CO[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@@H]1CO,CDK2,cryptic site,0.0012718071,0,0
5cu3,5cu3,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)CP(=O)(O)O)O1,CDK2,cryptic site,5cu3_9,0.12376746,0,0.50986457,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)CP(=O)(O)O)O1,CDK2,cryptic site,0.039641324,0,0.07541061,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)CP(=O)(O)O)O1,CDK2,cryptic site,0.12671615,0,0
