protein_id,pocket_id,valid_x,smiles_x,protein_name_x,site_type_x,drug_id,score_x,SMPBind,conf_x,valid_y,smiles_y,protein_name_y,site_type_y,score_y,Plinder,conf_y,valid,smiles,protein_name,site_type,score,BindingDB,vote_sum
2ivs,2ivs,1,CCC1=NC(C)=CC1CC(C)=C1NC(C)=C1,RET,active site,2ivs_0,0.005578367,0,0.52150184,1,CCC1=NC(C)=CC1CC(C)=C1NC(C)=C1,RET,active site,0.02283522,0,0.051269867,1,CCC1=NC(C)=CC1CC(C)=C1NC(C)=C1,RET,active site,0.7719322,1,1
2ivs,2ivs,1,CC1=CN(CC1=CC(NC(=O)C(C)=O)C(C)=C1)C1,RET,active site,2ivs_1,0.005927143,0,0.52137357,1,CC1=CN(CC1=CC(NC(=O)C(C)=O)C(C)=C1)C1,RET,active site,0.019446438,0,0.05575339,1,CC1=CN(CC1=CC(NC(=O)C(C)=O)C(C)=C1)C1,RET,active site,0.92232454,1,1
2ivs,2ivs,1,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[C@H]1O,RET,active site,2ivs_2,0.011273985,0,0.5094779,1,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[C@H]1O,RET,active site,0.00060074596,0,0.018989617,1,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[C@H]1O,RET,active site,0.54629433,1,1
2ivs,2ivs,1,CC1C(C)N1CC1=CC(C)C(C)=C1OCC1=CC(C)(C)C=C1,RET,active site,2ivs_3,0.0062551573,0,0.5096266,1,CC1C(C)N1CC1=CC(C)C(C)=C1OCC1=CC(C)(C)C=C1,RET,active site,0.003533852,0,0.03464692,1,CC1C(C)N1CC1=CC(C)C(C)=C1OCC1=CC(C)(C)C=C1,RET,active site,0.35110214,0,0
2ivs,2ivs,1,COC(=O)C1=CC=C(O)C=C(Cl)C(C)=C1,RET,active site,2ivs_4,0.0953469,0,0.515533,1,COC(=O)C1=CC=C(O)C=C(Cl)C(C)=C1,RET,active site,0.0036371048,0,0.029805006,1,COC(=O)C1=CC=C(O)C=C(Cl)C(C)=C1,RET,active site,0.9772782,1,1
2ivs,2ivs,1,CCC(=O)N(C)C1CCCCC1,RET,active site,2ivs_5,0.00054846774,0,0.52114505,1,CCC(=O)N(C)C1CCCCC1,RET,active site,0.02752422,0,0.057501312,1,CCC(=O)N(C)C1CCCCC1,RET,active site,0.20188509,0,0
2ivs,2ivs,1,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[C@H]1O,RET,active site,2ivs_6,0.011273985,0,0.5094779,1,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[C@H]1O,RET,active site,0.00060074596,0,0.018989617,1,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[C@H]1O,RET,active site,0.54629433,1,1
2ivs,2ivs,1,CCCO[C@@H]1C(=O)[C@H](CO)CC(C)C=C1,RET,active site,2ivs_7,0.0043626367,0,0.508995,1,CCCO[C@@H]1C(=O)[C@H](CO)CC(C)C=C1,RET,active site,0.0045732628,0,0.03671101,1,CCCO[C@@H]1C(=O)[C@H](CO)CC(C)C=C1,RET,active site,0.31741944,0,0
2ivs,2ivs,1,CC(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@@H](C(N)=O)[C@@H](C(=O))[C@@H]1O,RET,active site,2ivs_8,0.008859355,0,0.5026272,1,CC(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@@H](C(N)=O)[C@@H](C(=O))[C@@H]1O,RET,active site,0.00095286884,0,0.024482707,1,CC(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@@H](C(N)=O)[C@@H](C(=O))[C@@H]1O,RET,active site,0.5554551,1,1
2ivs,2ivs,1,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[C@H]1O,RET,active site,2ivs_9,0.011273985,0,0.5094779,1,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[C@H]1O,RET,active site,0.00060074596,0,0.018989617,1,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[C@H]1O,RET,active site,0.54629433,1,1
2ivs,2ivs,1,CC1=C(CC)C(C=C1)C(C)=O,RET,active site,2ivs_10,0.032097664,0,0.5164988,1,CC1=C(CC)C(C=C1)C(C)=O,RET,active site,0.0028706396,0,0.029107645,1,CC1=C(CC)C(C=C1)C(C)=O,RET,active site,0.7239755,1,1
2ivs,2ivs,1,CCC1=C(CC)C=C(O)C=C(OC)C(=O)C(C)C(C)C=C1,RET,active site,2ivs_11,0.16412501,0,0.51008,1,CCC1=C(CC)C=C(O)C=C(OC)C(=O)C(C)C(C)C=C1,RET,active site,0.0011261855,0,0.022269811,1,CCC1=C(CC)C=C(O)C=C(OC)C(=O)C(C)C(C)C=C1,RET,active site,0.5914937,1,1
2ivs,2ivs,1,C[C@H](N)C(=O)CCC1(C)N=C(C)C(C)N1,RET,active site,2ivs_12,0.00041099938,0,0.5168773,1,C[C@H](N)C(=O)CCC1(C)N=C(C)C(C)N1,RET,active site,0.020083671,0,0.052379504,1,C[C@H](N)C(=O)CCC1(C)N=C(C)C(C)N1,RET,active site,0.27686864,0,0
2ivs,2ivs,1,CC(=O)NCC1=CC(N=O)C=C1CCC1=C(C)C(=O)C1,RET,active site,2ivs_13,0.007142732,0,0.518587,1,CC(=O)NCC1=CC(N=O)C=C1CCC1=C(C)C(=O)C1,RET,active site,0.0123981275,0,0.045960657,1,CC(=O)NCC1=CC(N=O)C=C1CCC1=C(C)C(=O)C1,RET,active site,0.93193007,1,1
2ivs,2ivs,1,CC1=NOC(C)=CC(C(=O)O)CC=C1,RET,active site,2ivs_14,0.007360438,0,0.51925653,1,CC1=NOC(C)=CC(C(=O)O)CC=C1,RET,active site,0.0013046266,0,0.025212202,1,CC1=NOC(C)=CC(C(=O)O)CC=C1,RET,active site,0.97029054,1,1
2ivs,2ivs,1,CN1C(=O)C(=O)C(=O)C(=O)O1,RET,active site,2ivs_15,0.002925726,0,0.52564263,1,CN1C(=O)C(=O)C(=O)C(=O)O1,RET,active site,0.0150633855,0,0.04844031,1,CN1C(=O)C(=O)C(=O)C(=O)O1,RET,active site,0.8412404,1,1
2ivs,2ivs,1,COC1=CC(C)=C1CNC(=O)C1=CC=C(O)CC(=O)C1,RET,active site,2ivs_16,0.018538894,0,0.5187051,1,COC1=CC(C)=C1CNC(=O)C1=CC=C(O)CC(=O)C1,RET,active site,0.0066422042,0,0.040694386,1,COC1=CC(C)=C1CNC(=O)C1=CC=C(O)CC(=O)C1,RET,active site,0.9913024,1,1
2ivs,2ivs,1,CCCCC1=CC=CC(C(=O)O)C(C)C=C1,RET,active site,2ivs_17,0.05838659,0,0.5114403,1,CCCCC1=CC=CC(C(=O)O)C(C)C=C1,RET,active site,0.0007983544,0,0.022508152,1,CCCCC1=CC=CC(C(=O)O)C(C)C=C1,RET,active site,0.91473657,1,1
2ivs,2ivs,1,CCCOC(=O)C1=CCC(C)=NC(C(=O)O)=C1,RET,active site,2ivs_18,0.0081224535,0,0.5195144,1,CCCOC(=O)C1=CCC(C)=NC(C(=O)O)=C1,RET,active site,0.0011672154,0,0.023229735,1,CCCOC(=O)C1=CCC(C)=NC(C(=O)O)=C1,RET,active site,0.9758664,1,1
2ivs,2ivs,1,CC(=O)N[C@H]1C(=O)C(=O)C(=O)O1,RET,active site,2ivs_19,0.006133239,0,0.5209115,1,CC(=O)N[C@H]1C(=O)C(=O)C(=O)O1,RET,active site,0.02179659,0,0.055656042,1,CC(=O)N[C@H]1C(=O)C(=O)C(=O)O1,RET,active site,0.86098146,1,1
2ivs,2ivs,1,CCOC1=C(C)C=C(C)C(=O)C(=O)C(=O)NC(C)(C)C1,RET,active site,2ivs_20,0.006288251,0,0.51438904,1,CCOC1=C(C)C=C(C)C(=O)C(=O)C(=O)NC(C)(C)C1,RET,active site,0.003223322,0,0.030680047,1,CCOC1=C(C)C=C(C)C(=O)C(=O)C(=O)NC(C)(C)C1,RET,active site,0.8759513,1,1
